Name,Sigma,Kernel Size,Activator,Batch Size,Domain,Channels,Total runtime (seconds),Total runtime (minutes),Best Validation PSNR,Final Validation PSNR,Final Validation SSIM,Final Validation RMSE,Final Validation MAE,Final Validation MSE,Final Set12 PSNR,Final Set12 SSIM,Final Set12 RMSE,Final Set12 MAE,Final Set12 MSE
sigma25_k5_actrelu_bs16_image,25,5,relu,16,image,1,3159.32,52.66,28.6232,28.62324217834645,0.8067623536479084,0.0395092203542753,0.027703304706579623,0.0015609784930026816,29.47762240838308,0.8268210134679118,0.03398197350738449,0.024333670114477474,0.001154774523456581
sigma25_k5_actrelu_bs16_fourier_complex,25,5,relu,16,fourier_complex,2,3226.91,53.78,48.5267,48.52671749452544,0.9965688757362569,0.003991623269785612,0.002217783418018371,1.5933056327893984e-05,48.13287509047268,0.9960078922162455,0.004189444633645157,0.0022361826073999205,1.7551446338378202e-05
sigma25_k5_actrelu_bs32_image,25,5,relu,32,image,1,3163.97,52.73,28.3788,28.37884171211675,0.8015946647639907,0.04082600763037717,0.028469790608676916,0.0016667628990356153,29.233226980477827,0.8267800501460242,0.035065135504869956,0.024834500160068274,0.0012295637279748917
sigma25_k5_actrelu_bs32_fourier_complex,25,5,relu,32,fourier_complex,2,3224.19,53.74,41.1319,41.13186264346884,0.9602516256999333,0.009459378231183499,0.00589531911400092,8.947983652058825e-05,41.58738900469428,0.9653785564122018,0.008461969818339962,0.005287966613347332,7.160493320649645e-05
sigma25_k5_actrelu_bs64_image,25,5,relu,64,image,1,3062.5,51.04,28.6905,28.690542978886057,0.8113941441513381,0.039479355313061154,0.027148901019245386,0.00155861949593493,29.704953440595517,0.8382337452431342,0.03314683299491669,0.023360093124210835,0.0010987125375928979
sigma25_k5_actrelu_bs64_fourier_complex,25,5,relu,64,fourier_complex,2,3103.51,51.73,40.3843,40.3842541606697,0.9469897293925328,0.010275411046277957,0.00645067315439091,0.00010558407216997105,40.58890955717214,0.9552825256859877,0.009458267341009812,0.006091847511318822,8.945882109401282e-05
sigma25_k5_actleakyrelu_bs8_image,25,5,leakyrelu,8,image,1,3367.11,56.12,28.4492,28.44924138339065,0.7970919711564504,0.040119537853370926,0.02825363602160531,0.0016095773175680626,29.312185808675405,0.8186215371934131,0.034608972706337615,0.02482363845532139,0.0011977809917880222
sigma25_k5_actleakyrelu_bs8_fourier_complex,25,5,leakyrelu,8,fourier_complex,2,3446.79,57.45,47.139,47.13903581657937,0.995174181217976,0.018432762173029606,0.0028674398370854117,0.00033976672132747114,49.37195259246126,0.9972115849016082,0.0036829686681891616,0.0019651007120652744,1.3564258210863045e-05
sigma25_k5_actleakyrelu_bs16_image,25,5,leakyrelu,16,image,1,3218.88,53.65,28.9801,28.980147650769343,0.8260757312305114,0.03886635542355456,0.02608916470233132,0.0015105935839100687,30.136548712400952,0.8539597404776784,0.03158908739759219,0.021892347528288763,0.0009978704426127176
sigma25_k5_actleakyrelu_bs16_fourier_complex,25,5,leakyrelu,16,fourier_complex,2,3256.23,54.27,48.6627,48.66269716033742,0.9969726282327973,0.003939060549337733,0.0020146351769867845,1.551619801134888e-05,48.29652949594898,0.9962760833455578,0.0041655371716914705,0.0020659486569153764,1.7351699928743376e-05
