Name,Sigma,Kernel,Activation,Batch Size,Domain,Val PSNR,Val SSIM,Val RMSE,Val MAE,Set12 PSNR,Set12 SSIM,Set12 RMSE,Set12 MAE,Runtime (min)
sigma50_k5_actrelu_bs32_fourier_complex,50,5,relu,32,fourier_complex,44.5631,0.9881,0.00604,0.00371,43.9156,0.9868,0.00671,0.00391,54.0
sigma50_k5_actrelu_bs64_image,50,5,relu,64,image,25.9742,0.6989,0.05440,0.03710,26.6380,0.7469,0.04739,0.03278,51.3
sigma50_k5_actrelu_bs64_fourier_complex,50,5,relu,64,fourier_complex,42.5246,0.9680,0.01070,0.00510,42.6024,0.9690,0.00762,0.00498,52.0
sigma50_k5_actleakyrelu_bs8_image,50,5,leakyrelu,8,image,25.6031,0.7100,0.05769,0.03694,26.2727,0.7631,0.04966,0.03208,56.2
sigma50_k5_actleakyrelu_bs8_fourier_complex,50,5,leakyrelu,8,fourier_complex,44.6116,0.9858,0.00774,0.00351,45.1588,0.9875,0.00573,0.00349,57.6
sigma50_k5_actleakyrelu_bs16_image,50,5,leakyrelu,16,image,25.8202,0.7051,0.05507,0.03734,26.4089,0.7569,0.04886,0.03321,53.9
sigma50_k5_actleakyrelu_bs16_fourier_complex,50,5,leakyrelu,16,fourier_complex,43.9392,0.9736,0.02864,0.00533,44.6393,0.9844,0.00615,0.00356,54.5
sigma50_k5_actleakyrelu_bs32_image,50,5,leakyrelu,32,image,26.0453,0.7046,0.05415,0.03633,26.8813,0.7623,0.04612,0.03141,53.5
sigma50_k5_actleakyrelu_bs32_fourier_complex,50,5,leakyrelu,32,fourier_complex,41.8698,0.9736,0.01913,0.00598,42.4180,0.9806,0.00771,0.00531,54.2
sigma50_k5_actleakyrelu_bs64_image,50,5,leakyrelu,64,image,25.7117,0.6774,0.05583,0.03829,26.2423,0.7238,0.04962,0.03439,50.7
sigma50_k5_actleakyrelu_bs64_fourier_complex,50,5,leakyrelu,64,fourier_complex,42.1119,0.9655,0.00792,0.00550,41.8149,0.9651,0.00830,0.00554,51.8
sigma100_k3_actrelu_bs8_image,100,3,relu,8,image,23.6424,0.5884,0.07162,0.04826,23.8197,0.6597,0.06573,0.04453,30.1
sigma100_k3_actrelu_bs8_fourier_complex,100,3,relu,8,fourier_complex,39.7881,0.9549,0.01251,0.00770,40.4543,0.9614,0.00965,0.00641,31.4
sigma100_k3_actrelu_bs16_image,100,3,relu,16,image,23.6316,0.5887,0.07159,0.04835,23.7800,0.6575,0.06599,0.04478,28.6
sigma100_k3_actrelu_bs16_fourier_complex,100,3,relu,16,fourier_complex,40.7167,0.9624,0.00931,0.00600,40.6926,0.9613,0.00942,0.00583,29.3
sigma100_k3_actrelu_bs32_image,100,3,relu,32,image,23.5627,0.5797,0.07201,0.04876,23.6939,0.6451,0.06662,0.04542,27.8
sigma100_k3_actrelu_bs32_fourier_complex,100,3,relu,32,fourier_complex,39.9832,0.9526,0.01010,0.00668,39.9603,0.9505,0.01022,0.00646,28.7
sigma100_k3_actrelu_bs64_image,100,3,relu,64,image,23.4317,0.5718,0.07286,0.04987,23.5232,0.6344,0.06788,0.04652,28.5
sigma100_k3_actrelu_bs64_fourier_complex,100,3,relu,64,fourier_complex,39.3933,0.9335,0.01093,0.00764,39.8765,0.9379,0.01028,0.00699,29.3
sigma100_k3_actleakyrelu_bs8_image,100,3,leakyrelu,8,image,23.6031,0.5874,0.07179,0.04860,23.7547,0.6561,0.06618,0.04497,29.9
sigma100_k3_actleakyrelu_bs8_fourier_complex,100,3,leakyrelu,8,fourier_complex,40.3689,0.9603,0.00996,0.00660,40.6551,0.9624,0.00946,0.00599,31.0
sigma100_k3_actleakyrelu_bs16_image,100,3,leakyrelu,16,image,23.5851,0.5839,0.07189,0.04853,23.7339,0.6512,0.06632,0.04504,28.7
sigma100_k3_actleakyrelu_bs16_fourier_complex,100,3,leakyrelu,16,fourier_complex,40.5636,0.9608,0.00956,0.00634,41.1287,0.9650,0.00902,0.00569,29.4
sigma100_k3_actleakyrelu_bs32_image,100,3,leakyrelu,32,image,23.5709,0.5823,0.07205,0.04865,23.7175,0.6524,0.06649,0.04520,28.0
sigma100_k3_actleakyrelu_bs32_fourier_complex,100,3,leakyrelu,32,fourier_complex,40.2285,0.9536,0.00983,0.00660,40.2638,0.9538,0.00990,0.00636,28.9
sigma100_k3_actleakyrelu_bs64_image,100,3,leakyrelu,64,image,23.4189,0.5674,0.07306,0.04981,23.4755,0.6319,0.06828,0.04678,28.7
sigma100_k3_actleakyrelu_bs64_fourier_complex,100,3,leakyrelu,64,fourier_complex,39.5416,0.9488,0.01068,0.00772,39.9465,0.9522,0.01024,0.00716,29.5
sigma100_k5_actrelu_bs8_image,100,5,relu,8,image,23.4356,0.5657,0.07280,0.04963,23.6176,0.6367,0.06725,0.04578,55.2
sigma100_k5_actrelu_bs8_fourier_complex,100,5,relu,8,fourier_complex,41.4536,0.9727,0.00897,0.00590,42.0624,0.9704,0.00809,0.00509,56.5
sigma100_k5_actrelu_bs16_image,100,5,relu,16,image,23.7650,0.6010,0.07072,0.04726,23.8026,0.6666,0.06643,0.04399,52.9
sigma100_k5_actrelu_bs16_fourier_complex,100,5,relu,16,fourier_complex,39.5331,0.9590,0.01122,0.00788,40.3457,0.9591,0.00976,0.00666,54.0
sigma100_k5_actrelu_bs32_image,100,5,relu,32,image,23.5970,0.5781,0.07171,0.04862,23.7119,0.6413,0.06649,0.04538,52.8
sigma100_k5_actrelu_bs32_fourier_complex,100,5,relu,32,fourier_complex,40.0885,0.9443,0.01013,0.00696,40.1122,0.9393,0.01006,0.00665,53.8
sigma100_k5_actrelu_bs64_image,100,5,relu,64,image,23.2279,0.5431,0.07438,0.05092,23.2991,0.6144,0.06967,0.04791,51.1
sigma100_k5_actrelu_bs64_fourier_complex,100,5,relu,64,fourier_complex,39.9324,0.9397,0.01013,0.00711,39.6084,0.9341,0.01060,0.00725,51.9
sigma100_k5_actleakyrelu_bs8_image,100,5,leakyrelu,8,image,23.0580,0.5873,0.07704,0.04967,21.9076,0.6386,0.08858,0.05043,56.3
sigma100_k5_actleakyrelu_bs8_fourier_complex,100,5,leakyrelu,8,fourier_complex,39.6650,0.9634,0.01044,0.00803,39.3577,0.9611,0.01082,0.00796,57.6
sigma100_k5_actleakyrelu_bs16_image,100,5,leakyrelu,16,image,23.4409,0.5606,0.07259,0.04978,23.5494,0.6152,0.06760,0.04702,53.8
sigma100_k5_actleakyrelu_bs16_fourier_complex,100,5,leakyrelu,16,fourier_complex,42.0777,0.9800,0.00832,0.00543,42.5223,0.9774,0.00773,0.00476,54.4
sigma100_k5_actleakyrelu_bs32_image,100,5,leakyrelu,32,image,23.5925,0.5795,0.07188,0.04835,23.7382,0.6506,0.06636,0.04491,53.4
sigma100_k5_actleakyrelu_bs32_fourier_complex,100,5,leakyrelu,32,fourier_complex,40.8083,0.9521,0.00924,0.00644,40.5735,0.9468,0.00953,0.00635,54.4
sigma100_k5_actleakyrelu_bs64_image,100,5,leakyrelu,64,image,23.5409,0.5698,0.07208,0.04901,23.6804,0.6383,0.06676,0.04555,51.5
sigma100_k5_actleakyrelu_bs64_fourier_complex,100,5,leakyrelu,64,fourier_complex,39.6717,0.9155,0.01077,0.00768,39.8688,0.9243,0.01027,0.00719,51.5
